pixel_no,pixel_x,pixel_y,latitude,longitude,C12_real_mean,C12_real_sigma,C11_mean,C11_sigma,C12_imag_mean,C12_imag_sigma,C22_mean,C22_sigma
126,493,125,12.2503505042999,76.2145648944539,114.25926,450.3662,10001.661,2834.5208,337.05002,346.17444,2398.8462,466.7472
127,493,126,12.2502261600127,76.2145397079474,-170.14073,236.77036,8598.3,2228.7827,293.92963,200.23581,2579.6592,279.8209
128,493,127,12.2501018157255,76.2145145214409,-116.84259,254.12271,7340.4536,1656.7986,241.06111,162.05281,2560.1853,265.19815
129,493,128,12.2499774714384,76.2144893349344,-2.8333333,376.7629,6216.665,971.37585,192.48703,118.66891,2322.9055,294.25204
130,493,129,12.2498531271512,76.2144641484279,123.1443,366.78204,5285.305,1052.3932,109.16369,241.73756,1953.107,494.09985
131,493,130,12.249728782864,76.2144389619214,172.52267,295.8509,4585.1465,1006.32837,-21.00218,231.30817,1494.95,373.11307
132,493,131,12.2496044385768,76.2144137754149,158.41711,297.6021,4236.441,777.8197,-113.13922,173.19955,1333.7648,176.18655
133,493,132,12.2494800942896,76.2143885889084,109.902435,322.28552,4492.308,996.50336,-142.17328,200.38063,1351.0483,267.45444
134,493,133,12.2493557500024,76.2143634024019,-38.798145,497.2949,5149.246,1260.1503,-193.73705,287.00543,1593.7352,341.7691
135,493,134,12.2492314057152,76.2143382158954,-412.3426,572.1676,7219.033,3074.5972,-116.30185,333.69104,1972.7982,589.11414
136,493,135,12.249107061428,76.2143130293889,-712.1852,535.9508,9961.169,3568.5183,-169.87407,368.74234,2416.387,490.05127
137,493,136,12.2489827171408,76.2142878428824,-473.92776,805.0736,12427.06,2039.5734,-400.3852,528.8094,2841.8445,323.1293
138,493,137,12.2488583728536,76.2142626563759,-15.503693,801.9597,13814.56,1148.4794,-790.8852,383.40814,3051.7834,564.9789
139,493,138,12.2487340285664,76.2142374698694,530.7963,439.97708,14188.494,1220.8596,-995.6055,175.44176,3292.813,543.3987
140,493,139,12.2486096842792,76.2142122833629,481.15186,308.86298,14990.391,2027.8647,-765.10925,423.89328,3615.1926,726.524
141,493,140,12.2484853399921,76.2141870968563,361.60187,516.0984,16373.841,3259.8533,-723.12036,394.4913,3855.7166,893.331
